station_name,line,status
富锦路,1号线,active
友谊西路,1号线,active
宝安公路,1号线,active
共富新村,1号线,active
呼兰路,1号线,active
通河新村,1号线,active
共康路,1号线,active
彭浦新村,1号线,active
汶水路,1号线,active
上海马戏城,1号线,active
延长路,1号线,active
中山北路,1号线,active
上海火车站,1号线,active
汉中路,1号线,active
新闸路,1号线,active
人民广场,1号线,active
黄陂南路,1号线,active
陕西南路,1号线,active
常熟路,1号线,active
衡山路,1号线,active
徐家汇,1号线,active
上海体育馆,1号线,active
漕宝路,1号线,active
上海南站,1号线,active
锦江乐园,1号线,active
莲花路,1号线,active
外环路,1号线,active
莘庄,1号线,active
徐泾东,2号线,active
虹桥火车站,2号线,active
虹桥2号航站楼,2号线,active
淞虹路,2号线,active
北新泾,2号线,active
威宁路,2号线,active
娄山关路,2号线,active
中山公园,2号线,active
江苏路,2号线,active
静安寺,2号线,active
南京西路,2号线,active
人民广场,2号线,active
南京东路,2号线,active
陆家嘴,2号线,active
东昌路,2号线,active
世纪大道,2号线,active
上海科技馆,2号线,active
世纪公园,2号线,active
龙阳路,2号线,active
张江高科,2号线,active
金科路,2号线,active
广兰路,2号线,active
唐镇,2号线,active
创新中路,2号线,active
华夏东路,2号线,active
川沙,2号线,active
凌空路,2号线,active
远东大道,2号线,active
海天三路,2号线,active
浦东国际机场,2号线,active
上海南站,3号线,active
石龙路,3号线,active
龙漕路,3号线,active
漕溪路,3号线,active
宜山路,3号线,active
虹桥路,3号线,active
延安西路,3号线,active
中山公园,3号线,active
金沙江路,3号线,active
曹杨路,3号线,active
镇坪路,3号线,active
中潭路,3号线,active
上海火车站,3号线,active
宝山路,3号线,active
东宝兴路,3号线,active
虹口足球场,3号线,active
赤峰路,3号线,active
大柏树,3号线,active
江湾镇,3号线,active
殷高西路,3号线,active
长江南路,3号线,active
淞发路,3号线,active
张华浜,3号线,active
淞滨路,3号线,active
水产路,3号线,active
宝杨路,3号线,active
友谊路,3号线,active
铁力路,3号线,active
江杨北路,3号线,active
上海体育馆,4号线,active
宜山路,4号线,active
虹桥路,4号线,active
延安西路,4号线,active
中山公园,4号线,active
金沙江路,4号线,active
曹杨路,4号线,active
镇坪路,4号线,active
中潭路,4号线,active
上海火车站,4号线,active
宝山路,4号线,active
海伦路,4号线,active
临平路,4号线,active
大连路,4号线,active
杨树浦路,4号线,active
浦东大道,4号线,active
世纪大道,4号线,active
浦电路,4号线,active
蓝村路,4号线,active
塘桥,4号线,active
南浦大桥,4号线,active
西藏南路,4号线,active
鲁班路,4号线,active
大木桥路,4号线,active
东安路,4号线,active
上海体育场,4号线,active
莘庄,5号线,active
