start_station_id,end_station_id,line,direction,time
1001,1002,1号线,,3
1002,1001,1号线,,3
1002,1003,1号线,,2
1003,1002,1号线,,2
1003,1004,1号线,,2
1004,1003,1号线,,2
1004,1005,1号线,,2
1005,1004,1号线,,2
1005,1006,1号线,,2
1006,1005,1号线,,2
1006,1007,1号线,,2
1007,1006,1号线,,2
1007,1008,1号线,,2
1008,1007,1号线,,2
1008,1009,1号线,,2
1009,1008,1号线,,2
1009,1010,1号线,,2
1010,1009,1号线,,2
1010,1011,1号线,,2
1011,1010,1号线,,2
1011,1012,1号线,,2
1012,1011,1号线,,2
1012,1013,1号线,,2
1013,1012,1号线,,2
1013,1014,1号线,,2
1014,1013,1号线,,2
1014,1015,1号线,,2
1015,1014,1号线,,2
1015,1016,1号线,,2
1016,1015,1号线,,2
1016,1017,1号线,,2
1017,1016,1号线,,2
1017,1018,1号线,,2
1018,1017,1号线,,2
1018,1019,1号线,,2
1019,1018,1号线,,2
1019,1020,1号线,,2
1020,1019,1号线,,2
1020,1021,1号线,,2
1021,1020,1号线,,2
1021,1022,1号线,,2
1022,1021,1号线,,2
1022,1023,1号线,,2
1023,1022,1号线,,2
1023,1024,1号线,,2
1024,1023,1号线,,2
1024,1025,1号线,,3
1025,1024,1号线,,3
1025,1026,1号线,,2
1026,1025,1号线,,2
1026,1027,1号线,,2
1027,1026,1号线,,2
1027,1028,1号线,,2
1028,1027,1号线,,2
1029,1030,2号线,,3
1030,1029,2号线,,3
1030,1031,2号线,,3
1031,1030,2号线,,3
1031,1032,2号线,,4
1032,1031,2号线,,4
1032,1033,2号线,,2
1033,1032,2号线,,2
1033,1034,2号线,,2
1034,1033,2号线,,2
1034,1035,2号线,,2
1035,1034,2号线,,2
1035,1036,2号线,,2
1036,1035,2号线,,2
1036,1037,2号线,,2
1037,1036,2号线,,2
1037,1038,2号线,,2
1038,1037,2号线,,2
1038,1039,2号线,,2
1039,1038,2号线,,2
1039,1040,2号线,,2
1040,1039,2号线,,2
1040,1041,2号线,,2
1041,1040,2号线,,2
1041,1042,2号线,,2
1042,1041,2号线,,2
1042,1043,2号线,,2
1043,1042,2号线,,2
1043,1044,2号线,,2
1044,1043,2号线,,2
1044,1045,2号线,,3
1045,1044,2号线,,3
1045,1046,2号线,,2
1046,1045,2号线,,2
1046,1047,2号线,,2
1047,1046,2号线,,2
1047,1048,2号线,,3
1048,1047,2号线,,3
1048,1049,2号线,,2
1049,1048,2号线,,2
1049,1050,2号线,,2
1050,1049,2号线,,2
